Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,250.000000,250.000000,245.500000,245.500000,245.500000,1570
2017-06-01,247.000000,247.000000,244.500000,246.000000,246.000000,3570
2017-06-02,255.000000,255.000000,250.000000,250.000000,250.000000,1030
2017-06-05,250.000000,250.000000,240.000000,246.350006,246.350006,2000
2017-06-06,250.000000,250.000000,248.000000,250.000000,250.000000,650
2017-06-07,262.500000,262.500000,249.250000,249.250000,249.250000,2250
2017-06-08,251.000000,251.000000,249.000000,249.000000,249.000000,4660
2017-06-09,249.000000,250.000000,232.000000,239.399994,239.399994,3800
2017-06-12,239.000000,239.000000,226.000000,231.000000,231.000000,3270
2017-06-13,231.000000,237.000000,231.000000,237.000000,237.000000,510
2017-06-14,238.000000,238.000000,230.000000,233.000000,233.000000,1040
2017-06-15,232.000000,232.000000,226.000000,231.000000,231.000000,390
2017-06-16,229.100006,229.100006,229.100006,229.100006,229.100006,800
2017-06-19,240.500000,240.500000,235.000000,235.000000,235.000000,490
2017-06-21,240.000000,242.000000,236.000000,237.000000,237.000000,2470
2017-06-22,245.000000,245.000000,237.000000,237.000000,237.000000,400
2017-06-23,237.000000,237.000000,237.000000,237.000000,237.000000,140
2017-06-26,237.000000,238.000000,237.000000,238.000000,238.000000,160
2017-06-27,245.000000,245.000000,237.500000,237.500000,237.500000,850
2017-06-28,237.899994,242.000000,237.899994,242.000000,242.000000,130
2017-06-29,245.000000,245.000000,243.000000,243.000000,243.000000,190
2017-06-30,244.000000,244.000000,239.000000,239.000000,239.000000,1210
2017-07-03,239.000000,242.300003,235.000000,238.000000,238.000000,1680
2017-07-04,243.000000,244.000000,242.500000,244.000000,244.000000,230
2017-07-05,245.000000,247.000000,244.000000,247.000000,247.000000,3950
2017-07-06,247.000000,247.000000,244.000000,244.000000,244.000000,720
2017-07-07,240.000000,250.000000,240.000000,250.000000,250.000000,460
2017-07-10,250.000000,250.000000,240.000000,245.000000,245.000000,640
2017-07-11,255.000000,255.000000,247.000000,247.500000,247.500000,4250
2017-07-12,248.000000,248.000000,247.000000,247.399994,247.399994,960
2017-07-13,247.000000,253.199997,247.000000,252.000000,252.000000,8320
2017-07-14,253.000000,253.000000,250.000000,251.000000,251.000000,1820
2017-07-17,251.000000,257.000000,250.000000,254.000000,254.000000,1590
2017-07-18,253.000000,258.000000,248.000000,248.000000,248.000000,330
2017-07-19,248.000000,261.000000,248.000000,261.000000,261.000000,2150
2017-07-20,265.000000,265.000000,258.500000,261.750000,261.750000,290
2017-07-21,260.000000,270.000000,260.000000,263.000000,263.000000,460
2017-07-24,274.000000,274.000000,265.000000,270.000000,270.000000,1080
2017-07-25,265.000000,270.000000,265.000000,267.799988,267.799988,2320
2017-07-26,269.000000,270.000000,269.000000,270.000000,270.000000,500
2017-07-27,270.000000,270.000000,258.000000,265.000000,265.000000,6680
2017-07-28,270.000000,270.000000,269.000000,270.000000,270.000000,430
2017-07-31,270.000000,270.000000,268.000000,269.000000,269.000000,480
2017-08-01,268.149994,268.799988,260.399994,263.500000,263.500000,1280
2017-08-02,268.000000,277.899994,268.000000,277.899994,277.899994,22630
2017-08-03,277.500000,277.500000,273.600006,277.000000,277.000000,1110
2017-08-04,280.000000,280.000000,277.950012,277.950012,277.950012,1120
2017-08-07,279.000000,282.000000,279.000000,282.000000,282.000000,2790
2017-08-08,282.000000,288.000000,282.000000,286.000000,286.000000,4300
2017-08-09,286.500000,288.000000,283.500000,288.000000,288.000000,4390
2017-08-10,284.000000,284.000000,277.000000,277.000000,277.000000,700
2017-08-11,280.000000,284.500000,278.000000,280.000000,280.000000,2700
2017-08-14,281.000000,281.000000,274.000000,280.000000,280.000000,650
2017-08-15,280.000000,280.000000,274.000000,274.000000,274.000000,2180
2017-08-16,274.000000,285.000000,274.000000,279.000000,279.000000,2250
2017-08-17,280.000000,280.000000,274.000000,277.000000,277.000000,2340
2017-08-18,276.000000,276.000000,274.000000,274.000000,274.000000,4590
2017-08-22,274.000000,278.000000,274.000000,278.000000,278.000000,1150
2017-08-23,278.000000,278.000000,277.049988,278.000000,278.000000,1530
2017-08-24,278.000000,278.000000,276.000000,276.000000,276.000000,370
2017-08-25,277.000000,277.000000,274.000000,274.000000,274.000000,870
2017-08-28,273.000000,280.000000,273.000000,277.500000,277.500000,3220
2017-08-29,280.000000,287.000000,280.000000,287.000000,287.000000,940
2017-08-30,290.000000,290.000000,285.000000,285.500000,285.500000,3230
2017-08-31,286.000000,288.000000,285.000000,285.000000,285.000000,2500
2017-09-01,285.000000,285.000000,280.000000,285.000000,285.000000,1840
2017-09-04,283.850006,291.000000,283.850006,288.000000,288.000000,2480
2017-09-05,288.000000,288.000000,288.000000,288.000000,288.000000,0
2017-09-06,288.000000,288.000000,288.000000,288.000000,288.000000,0
2017-09-07,288.000000,288.000000,288.000000,288.000000,288.000000,0
2017-09-08,288.000000,288.000000,288.000000,288.000000,288.000000,0
2017-09-11,288.000000,288.000000,288.000000,288.000000,288.000000,0
2017-09-12,284.000000,284.000000,274.250000,276.000000,276.000000,7360
2017-09-13,275.899994,275.899994,271.500000,271.500000,271.500000,1120
2017-09-14,270.000000,271.000000,268.000000,271.000000,271.000000,2490
2017-09-15,265.000000,275.000000,265.000000,273.000000,273.000000,1820
2017-09-18,275.000000,275.000000,270.100006,270.100006,270.100006,780
2017-09-19,271.000000,273.950012,270.000000,270.500000,270.500000,1640
2017-09-20,270.000000,272.000000,265.000000,267.500000,267.500000,1120
2017-09-21,268.000000,268.000000,265.000000,265.000000,265.000000,470
2017-09-22,265.000000,266.000000,256.000000,261.500000,261.500000,5360
2017-09-25,260.000000,265.000000,260.000000,262.299988,262.299988,2090
2017-09-26,263.000000,270.000000,263.000000,270.000000,270.000000,1580
2017-09-27,273.000000,273.000000,269.799988,269.899994,269.899994,1730
2017-09-28,280.000000,280.000000,265.000000,265.000000,265.000000,3350
2017-09-29,260.000000,270.000000,260.000000,268.299988,268.299988,870
2017-10-02,270.000000,270.000000,265.000000,270.000000,270.000000,920
2017-10-03,270.000000,270.000000,269.200012,270.000000,270.000000,610
2017-10-04,270.950012,270.950012,265.000000,267.000000,267.000000,1930
2017-10-05,268.100006,270.000000,268.100006,270.000000,270.000000,590
2017-10-06,272.000000,273.000000,268.000000,270.450012,270.450012,1990
2017-10-10,270.000000,272.000000,270.000000,272.000000,272.000000,1920
2017-10-11,272.000000,274.399994,268.000000,271.000000,271.000000,22250
2017-10-12,271.000000,274.500000,271.000000,274.500000,274.500000,220
2017-10-13,274.500000,274.500000,273.000000,274.000000,274.000000,810
2017-10-17,275.500000,279.799988,275.000000,278.399994,278.399994,400
2017-10-18,276.000000,279.000000,276.000000,276.000000,276.000000,610
2017-10-19,285.000000,285.000000,270.000000,276.000000,276.000000,1250
2017-10-20,276.000000,277.000000,265.000000,275.899994,275.899994,7720
2017-10-23,276.000000,276.000000,267.000000,272.000000,272.000000,1140
2017-10-24,274.000000,275.000000,274.000000,275.000000,275.000000,1390
2017-10-25,273.000000,275.500000,272.000000,275.500000,275.500000,3880
2017-10-26,275.500000,279.000000,275.000000,278.700012,278.700012,970
2017-10-27,279.500000,290.000000,279.500000,287.350006,287.350006,2950
2017-10-30,290.000000,295.000000,288.000000,294.000000,294.000000,1570
2017-10-31,296.000000,299.100006,293.000000,298.000000,298.000000,1490
2017-11-01,297.000000,299.000000,290.000000,295.000000,295.000000,1030
2017-11-02,296.000000,296.000000,290.000000,294.850006,294.850006,960
2017-11-03,300.000000,307.000000,296.000000,306.750000,306.750000,1350
2017-11-07,310.000000,310.000000,303.000000,308.500000,308.500000,1800
2017-11-08,309.000000,309.000000,305.000000,307.000000,307.000000,700
2017-11-09,309.000000,309.000000,304.000000,305.649994,305.649994,2060
2017-11-10,304.549988,308.000000,304.549988,307.950012,307.950012,1210
2017-11-13,308.600006,308.600006,304.000000,304.000000,304.000000,320
2017-11-14,304.000000,304.000000,300.000000,301.200012,301.200012,430
2017-11-15,299.000000,299.000000,295.000000,295.850006,295.850006,760
2017-11-16,295.700012,300.000000,295.700012,300.000000,300.000000,280
2017-11-17,301.000000,302.000000,296.000000,301.350006,301.350006,1770
2017-11-21,301.000000,305.000000,300.000000,305.000000,305.000000,470
2017-11-22,310.000000,310.000000,305.000000,307.000000,307.000000,540
2017-11-23,309.000000,309.000000,309.000000,309.000000,309.000000,30
2017-11-24,310.000000,310.000000,306.000000,306.000000,306.000000,390
2017-11-28,306.000000,306.000000,300.000000,300.350006,300.350006,520
2017-11-29,301.000000,301.000000,293.950012,294.350006,294.350006,1530
2017-11-30,294.350006,296.350006,294.350006,296.350006,296.350006,80
2017-12-01,296.350006,296.350006,296.350006,296.350006,296.350006,30
2017-12-04,296.000000,305.000000,295.899994,296.000000,296.000000,480
2017-12-05,290.000000,297.000000,290.000000,294.899994,294.899994,730
2017-12-06,290.000000,292.950012,280.000000,292.950012,292.950012,11000
2017-12-07,292.950012,295.000000,292.950012,295.000000,295.000000,990
2017-12-11,295.000000,298.700012,295.000000,298.700012,298.700012,2630
2017-12-12,299.000000,299.000000,293.000000,295.899994,295.899994,1110
2017-12-13,295.899994,299.000000,295.899994,299.000000,299.000000,820
2017-12-14,305.000000,305.000000,302.000000,302.000000,302.000000,460
2017-12-15,300.000000,305.000000,300.000000,304.000000,304.000000,500
2017-12-18,308.000000,312.500000,308.000000,310.450012,310.450012,3870
2017-12-19,310.450012,313.000000,306.000000,309.000000,309.000000,1950
2017-12-20,312.000000,312.000000,308.700012,309.000000,309.000000,1060
2017-12-21,306.000000,310.000000,306.000000,310.000000,310.000000,370
2017-12-22,305.000000,316.200012,305.000000,316.049988,316.049988,560
2017-12-26,316.000000,316.000000,311.000000,312.000000,312.000000,2410
2017-12-27,315.000000,315.000000,312.000000,314.000000,314.000000,390
2017-12-28,315.000000,325.000000,314.000000,325.000000,325.000000,1620
2018-01-01,317.000000,317.000000,317.000000,317.000000,317.000000,0
2018-01-02,315.000000,317.000000,314.000000,317.000000,317.000000,480
2018-01-03,320.000000,325.000000,315.000000,325.000000,325.000000,1280
2018-01-04,324.000000,326.000000,318.000000,325.000000,325.000000,1230
2018-01-05,330.000000,333.200012,328.000000,332.000000,332.000000,1070
2018-01-08,332.000000,333.700012,330.000000,333.000000,333.000000,340
2018-01-09,333.000000,333.000000,330.750000,330.750000,330.750000,600
2018-01-10,331.000000,331.000000,323.000000,323.000000,323.000000,1130
2018-01-11,321.000000,328.500000,321.000000,328.000000,328.000000,1090
2018-01-12,328.000000,332.000000,328.000000,332.000000,332.000000,1540
2018-01-15,348.000000,348.000000,340.000000,346.899994,346.899994,170
2018-01-16,348.000000,350.000000,335.000000,340.000000,340.000000,2360
2018-01-17,340.000000,340.000000,331.000000,336.000000,336.000000,1770
2018-01-18,342.000000,345.000000,340.000000,342.000000,342.000000,830
2018-01-19,345.000000,345.000000,339.000000,340.000000,340.000000,980
2018-01-22,340.000000,340.000000,338.350006,338.350006,338.350006,130
2018-01-23,340.000000,350.000000,338.350006,346.000000,346.000000,2390
2018-01-24,355.000000,355.000000,341.250000,341.250000,341.250000,1600
2018-01-25,341.500000,345.000000,337.000000,337.000000,337.000000,1540
2018-01-26,334.000000,334.200012,332.000000,334.200012,334.200012,320
2018-01-29,334.000000,340.000000,320.000000,320.000000,320.000000,1640
2018-01-30,317.000000,330.000000,317.000000,325.000000,325.000000,2830
2018-01-31,330.000000,330.000000,326.000000,328.000000,328.000000,2860
2018-02-01,329.500000,330.000000,325.000000,325.000000,325.000000,1720
2018-02-02,325.000000,325.000000,317.000000,318.000000,318.000000,12100
2018-02-05,313.000000,330.000000,310.000000,318.000000,318.000000,3740
2018-02-06,310.000000,317.950012,300.000000,313.250000,313.250000,4040
2018-02-07,313.500000,320.000000,311.350006,318.000000,318.000000,10660
2018-02-08,318.000000,321.000000,317.799988,320.000000,320.000000,1440
2018-02-09,307.000000,315.000000,306.000000,309.049988,309.049988,2890
2018-02-14,321.000000,335.000000,321.000000,330.899994,330.899994,950
2018-02-15,336.500000,350.000000,336.500000,343.000000,343.000000,11700
2018-02-16,336.000000,345.850006,336.000000,345.850006,345.850006,1450
2018-02-19,347.000000,347.000000,347.000000,347.000000,347.000000,20
2018-02-20,347.000000,347.000000,346.000000,346.000000,346.000000,170
2018-02-21,346.000000,346.000000,344.000000,344.000000,344.000000,770
2018-02-22,341.000000,346.500000,341.000000,346.500000,346.500000,960
2018-02-23,348.000000,349.000000,347.000000,348.899994,348.899994,1500
2018-02-26,350.000000,360.000000,350.000000,360.000000,360.000000,1040
2018-02-27,360.000000,366.000000,360.000000,360.299988,360.299988,1490
2018-02-28,360.000000,363.000000,360.000000,363.000000,363.000000,1410
2018-03-01,365.000000,365.000000,362.000000,362.750000,362.750000,420
2018-03-02,362.799988,362.799988,353.000000,356.000000,356.000000,2190
2018-03-05,360.000000,361.000000,358.000000,358.000000,358.000000,900
2018-03-06,358.000000,360.000000,358.000000,360.000000,360.000000,300
2018-03-07,356.000000,357.000000,354.000000,357.000000,357.000000,610
2018-03-08,358.000000,360.000000,356.000000,360.000000,360.000000,1040
2018-03-09,361.000000,366.000000,360.000000,366.000000,366.000000,570
2018-03-12,367.000000,367.000000,367.000000,367.000000,367.000000,140
2018-03-13,371.000000,380.000000,367.000000,369.000000,369.000000,1340
2018-03-14,369.000000,369.000000,364.000000,365.000000,365.000000,790
2018-03-15,365.000000,368.000000,365.000000,367.000000,367.000000,1190
2018-03-16,367.000000,370.000000,362.000000,363.899994,363.899994,2010
2018-03-19,365.000000,370.000000,350.000000,353.549988,353.549988,600
2018-03-20,353.600006,359.000000,353.600006,357.000000,357.000000,1150
2018-03-21,358.000000,358.000000,350.000000,355.000000,355.000000,830
2018-03-22,348.000000,350.000000,345.000000,345.000000,345.000000,750
2018-03-23,343.000000,360.000000,340.000000,341.500000,341.500000,950
2018-03-26,345.000000,350.000000,337.000000,350.000000,350.000000,720
2018-03-27,360.000000,360.000000,339.000000,339.000000,339.000000,1360
2018-03-28,340.000000,350.000000,335.000000,338.350006,338.350006,1860
2018-04-03,334.000000,340.000000,320.000000,338.450012,338.450012,1000
2018-04-04,338.500000,350.000000,338.500000,347.250000,347.250000,11630
2018-04-05,352.000000,353.000000,350.850006,350.950012,350.950012,420
2018-04-06,350.000000,353.000000,341.500000,342.399994,342.399994,3480
2018-04-09,342.000000,352.000000,342.000000,349.250000,349.250000,510
2018-04-10,355.000000,360.000000,347.899994,353.000000,353.000000,9750
2018-04-11,355.000000,355.000000,340.000000,348.750000,348.750000,280
2018-04-12,350.000000,360.000000,345.000000,350.600006,350.600006,3430
2018-04-13,353.000000,357.000000,353.000000,354.000000,354.000000,140
2018-04-16,350.000000,362.149994,350.000000,356.399994,356.399994,1000
2018-04-17,356.000000,363.000000,356.000000,363.000000,363.000000,1190
2018-04-18,358.000000,361.000000,358.000000,359.000000,359.000000,240
2018-04-19,345.000000,358.000000,345.000000,349.500000,349.500000,640
2018-04-20,350.000000,350.000000,335.000000,335.000000,335.000000,860
2018-04-23,338.000000,338.000000,334.000000,334.000000,334.000000,1150
2018-04-24,334.000000,335.000000,328.500000,328.500000,328.500000,1480
2018-04-25,330.000000,335.000000,330.000000,334.700012,334.700012,1020
2018-04-26,335.000000,350.000000,335.000000,346.799988,346.799988,910
2018-04-27,347.000000,360.000000,335.000000,340.000000,340.000000,920
2018-05-02,335.000000,370.000000,335.000000,370.000000,370.000000,1400
2018-05-03,371.100006,403.000000,371.000000,402.049988,402.049988,3590
2018-05-04,400.950012,418.000000,396.000000,403.850006,403.850006,1370
2018-05-07,400.000000,408.000000,400.000000,407.700012,407.700012,1200
2018-05-08,410.000000,426.000000,410.000000,422.299988,422.299988,3420
2018-05-09,425.000000,426.000000,422.000000,425.399994,425.399994,9890
2018-05-10,425.000000,439.000000,420.000000,437.350006,437.350006,2300
2018-05-11,435.000000,452.000000,435.000000,452.000000,452.000000,3600
2018-05-14,470.000000,495.000000,466.000000,474.000000,474.000000,11670
2018-05-15,470.000000,475.000000,440.000000,459.000000,459.000000,7440
2018-05-16,459.000000,465.000000,450.000000,464.549988,464.549988,1240
2018-05-17,464.649994,464.649994,444.000000,460.000000,460.000000,1710
2018-05-18,460.000000,470.000000,460.000000,460.000000,460.000000,1140
2018-05-21,460.000000,465.000000,455.000000,456.049988,456.049988,1550
2018-05-22,462.000000,462.000000,456.899994,456.899994,456.899994,610
2018-05-23,458.000000,459.000000,456.000000,457.000000,457.000000,340
2018-05-24,457.000000,470.000000,457.000000,467.350006,467.350006,1030
2018-05-28,467.350006,485.000000,467.350006,480.500000,480.500000,170
2018-05-29,480.000000,498.000000,468.000000,468.299988,468.299988,2750
2018-05-30,472.000000,472.000000,467.549988,470.000000,470.000000,2630
2018-05-31,480.000000,480.000000,460.000000,465.000000,465.000000,2700
2018-06-01,475.000000,480.000000,473.000000,480.000000,480.000000,1980
2018-06-04,480.000000,488.500000,480.000000,488.500000,488.500000,2110
2018-06-05,489.000000,494.000000,475.000000,485.399994,485.399994,1250
2018-06-06,480.000000,482.000000,478.000000,480.049988,480.049988,5670
2018-06-07,482.000000,490.000000,482.000000,482.149994,482.149994,2730
2018-06-08,483.000000,493.000000,482.200012,487.850006,487.850006,1260
2018-06-11,489.000000,492.100006,487.500000,490.399994,490.399994,3130
